ID,Päring,Filtrid,Target_code,Expected unique_ID (top_codes),Tulemus (PASS/FAIL),Märkus
R011,"Otsin ainet teemadel cc09ebe7-e0b3-7eea-0024-a6c7fda4e7ea, andmed ja süsteemid. Mis kursus seda kõige paremini katab?","credits=3, semester=autumn, language=et, level=ANY",HTOS.02.238,"HTOS.02.238, P2OG.01.061, KKSB.01.001, LOMR.06.004, KKSP.02.051",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R012,"Soovita kursust, mis aitab mul õppida fbab0d43-b23e-8395-e331-08fb020ee6e1 ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=4, semester=spring, language=et, level=ANY",LOFY.01.114,"LOFY.01.114, HTOS.02.242, LOOM.01.126, KKSB.05.106, HVAJ.02.012",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R013,Milline kursus õpetab d0c42e0e-1e26-2b36-99dc-ca585921661a ning sisaldab ka andmed ja süsteemid? Lisa lühike põhjendus.,"credits=3, semester=spring, language=et, level=ANY",FLGR.05.409,"FLKU.03.070, SVNC.00.163, FLLC.03.003, HVLC.01.079, HVLC.05.062",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R014,"Soovita kursust, mis aitab mul õppida 51164958-9009-76bd-1e82-4267f84b41bf ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=2, semester=autumn, language=et, level=ANY",HVEE.05.047,"HVEE.05.047, ARFA.01.111, LOMR.06.003, KKSB.05.124, ARST.01.121",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R015,"Otsin ainet teemadel 177482aa-0f71-0db4-3c06-85bb8336b92f, andmed ja süsteemid. Mis kursus seda kõige paremini katab?","credits=3, semester=autumn, language=en, level=ANY",P2NC.00.404,"P2NC.00.404, LTBI.00.020, LTKT.10.001, LTAT.02.018, SVMJ.02.005",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R016,"Mul on huvi 617a04dd-6645-20a1-e396-d3c8cf21892c vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=6, semester=spring, language=en, level=doctoral",LTOM.02.071,"LTOM.02.071, LTAT.02.005, FLFI.04.103, HVLC.05.013, HVLC.01.078",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R017,"Mul on huvi 2ac1b928-c564-2250-bc3a-26907e68bcca vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=6, semester=autumn, language=et, level=bachelor",LOFY.03.079,"LOFY.03.079, HVLC.03.027, USUS.03.054, OIAO.05.039, HVLC.03.010",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R018,"Mul on huvi 10f5689f-d293-222f-5cb2-74cafb4e0d31 vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=6, semester=autumn, language=et, level=master",HVLC.09.053,"HVLC.09.053, HVLC.03.027, HVKU.05.012, MTMS.02.003, OIEO.03.016",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R019,Milline kursus õpetab f9a4c235-3ea9-38d6-b9c4-0d16ffc87aa4 ning sisaldab ka andmed ja süsteemid? Lisa lühike põhjendus.,"credits=6, semester=spring, language=et, level=ANY",HVLC.03.023,"HVLC.03.023, MTMS.02.059, SVJS.00.094, HVLC.09.054, SORG.00.010",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R020,"Mul on huvi 1b9304cb-4b7c-366a-3e63-d11cf3eaa2ce vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=3, semester=spring, language=et, level=ANY",LOFY.02.007,"LOFY.02.007, HVLC.00.004, KKSP.05.317, HVVK.01.213, SVNC.00.163",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R021,"Soovita kursust, mis aitab mul õppida d557353f-91b4-5b7b-5a21-aef602b41fd8 ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=3, semester=spring, language=et, level=ANY",SVHI.03.035,"SVHI.03.035, SVNC.00.163, FLGR.05.395, HVLC.00.004, HVLC.05.062",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R022,"Mul on huvi fa950993-10b2-ab0d-e4b1-5d044d669c77 vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=3, semester=autumn, language=et, level=ANY",FLAJ.02.014,"FLAJ.02.014, LOMR.06.004, P2OG.01.061, USUS.08.001, HVVK.00.021",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R023,"Soovita kursust, mis aitab mul õppida cee12330-4adc-57ae-1a5f-d507d77f0d18 ja andmed. Tahaks, et oleks praktiline ja kataks ka süsteemid.","credits=3, semester=spring, language=et, level=bachelor",LOFY.05.025,"LOFY.05.025, HVLC.05.062, HVLC.00.004, SVNC.00.163, FLKU.04.093",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R024,"Mul on huvi 9e087282-aff7-fa43-5460-6f1862735296 vastu, aga tahan siduda selle andmed ja süsteemid rakendustega. Soovita sobiv kursus.","credits=3, semester=autumn, language=et, level=master",LOFY.02.045,"LOKT.04.023, LOFY.02.045, LOKT.03.004, KKSP.02.051, LOMR.10.005",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
R025,"Otsin ainet teemadel af68af28-3f3c-1c22-cb77-64841e6a4c3e, andmed ja süsteemid. Mis kursus seda kõige paremini katab?","credits=3, semester=spring, language=et, level=ANY",FLGR.05.258,"FLGR.05.258, FLGR.05.395, SVNC.00.263, FLGR.04.152, KKSP.05.317",,Expected arvutatud semantilise otsingu järgi (prompt->embed->score->topk) samade filtritega.
